lon,lat
-111.974937920255,33.0766245918068
-111.974921224671,33.0766246101484
-111.974912625943,33.0766246369717
-111.974953716628,33.0766247509496
-111.974815942857,33.0766248425787
-111.974904723607,33.0766248830553
-111.974887535694,33.0766250573015
-111.974831100447,33.0766253203864
-111.974864695948,33.0766254358581
-111.974929654473,33.0766256409447
-111.974986516078,33.076626100532
-111.975018155907,33.0766261399912
-111.974871768705,33.0766262882238
-111.974895893147,33.0766263444258
-111.974946251668,33.0766266128925
-111.974847837508,33.076626962128
-111.975034509705,33.0766271458245
-111.974912469147,33.0766271760291
-111.974978582514,33.0766273614858
-111.974856399308,33.0766274583733
-111.974839410844,33.0766274619458
-111.975002591268,33.0766275588851
-111.974812798047,33.0766278562316
-111.974823067973,33.076627872658
-111.974970079859,33.0766280100409
-111.974953892841,33.076628403574
-111.974937842025,33.0766288660087
-111.974887293967,33.0766292070385
-111.974880150025,33.0766297908793
-111.975049731313,33.0766302126964
-111.974904756244,33.0766302191207
-111.974986783364,33.0766309318987
-111.974978314845,33.0766310033058
-111.97500995744,33.0766316976449
-111.974871520573,33.0766317001398
-111.97486472858,33.0766322887176
-111.975018436833,33.0766324622707
-111.974856484219,33.0766325930026
-111.974929582683,33.0766327292032
-111.974970334785,33.0766330657852
-111.975002604328,33.0766332745607
-111.975034555485,33.0766334206778
-111.974921374801,33.0766338280055
-111.97502591434,33.0766344914459
-111.974887457296,33.0766351408269
-111.974987513511,33.0766355955096
-111.975009741897,33.0766359959902
-111.974823159411,33.0766361175609
-111.974946186404,33.0766367619217
-111.974970034104,33.0766376853038
-111.97493788114,33.0766381239857
-111.975049868368,33.0766383611692
-111.974978334431,33.0766389246837
-111.97487261758,33.076638943953
-111.974953742733,33.07663913246
-111.974962276183,33.0766391884957
-111.975034562025,33.0766392820502
-111.974929654473,33.0766402255397
-111.974813476595,33.0766424939743
-111.97497074005,33.076643037458
-111.974963243591,33.0766432077842
-111.974888156346,33.0766432110029
-111.975010009693,33.0766435474395
-111.97487291795,33.0766444452298
-111.97484789628,33.0766446191148
-111.975050416588,33.0766446696644
-111.974937835506,33.0766447280466
-111.974986516078,33.0766449227314
-111.974904880264,33.0766456456073
-111.974921270363,33.0766459096629
-111.974994302877,33.0766459505612
-111.974952972615,33.0766460244149
-111.97491261941,33.0766460567735
-111.975002571679,33.0766463109988
-111.974962021257,33.0766466065706
-111.974946205983,33.0766466709022
-111.975018142841,33.076647145374
-111.974821618017,33.076647226365
-111.974881364568,33.07664722643
-111.974869933832,33.0766473885525
-111.974929661,33.0766474759113
-111.974896023701,33.0766476446906
-111.974816667077,33.0766480963495
